created_at,text
2021-12-04 12:01:21,"RT @NCTsmtown: WayV 威神V 'Miracle' Track Video

〖 NCT The 3rd Album ‘Universe’
➫ 2021.12.14 〗

#WayV #Miracle
#NCT #Universe https://t.co/nM…"
2021-12-04 12:01:06,"RT @NCTsmtown: WayV 威神V 'Miracle' Track Video

〖 NCT The 3rd Album ‘Universe’
➫ 2021.12.14 〗

#WayV #Miracle
#NCT #Universe https://t.co/nM…"
2021-12-04 12:01:06,"RT @NCTsmtown: WayV 威神V 'Miracle' Track Video

〖 NCT The 3rd Album ‘Universe’
➫ 2021.12.14 〗

#WayV #Miracle
#NCT #Universe https://t.co/nM…"
2021-12-04 12:01:00,"RT @NCTsmtown: WayV 'Miracle'
Track Video Image Teaser 

〖 NCT The 3rd Album ‘Universe’
➫ 2021.12.14 〗

#WayV #Miracle
#NCT #Universe https…"
2021-12-04 12:00:54,"RT @Lavenderberry2: Not everyone will understand your journey, but that's okay. They need to understand their own not yours.💜🍓💜🌍
📸📸: @OjoVi…"
2021-12-04 12:00:52,"RT @NCTsmtown: WayV 威神V 'Miracle' Track Video

〖 NCT The 3rd Album ‘Universe’
➫ 2021.12.14 〗

#WayV #Miracle
#NCT #Universe https://t.co/nM…"
2021-12-04 12:00:52,"RT @SM_NCT_BACKUP: [!!!] With the release of NCT The 3rd Album 'Universe' on December 14th at 6:00PM KST, we compiled things to remember an…"
2021-12-04 12:00:51,"RT @NCTsmtown: WayV 威神V 'Miracle' Track Video

〖 NCT The 3rd Album ‘Universe’
➫ 2021.12.14 〗

#WayV #Miracle
#NCT #Universe https://t.co/nM…"
2021-12-04 12:00:47,"RT @NCTsmtown: WayV 威神V 'Miracle' Track Video

〖 NCT The 3rd Album ‘Universe’
➫ 2021.12.14 〗

#WayV #Miracle
#NCT #Universe https://t.co/nM…"
2021-12-04 12:00:39,"RT @NCTsmtown: WayV 威神V 'Miracle' Track Video

〖 NCT The 3rd Album ‘Universe’
➫ 2021.12.14 〗

#WayV #Miracle
#NCT #Universe https://t.co/nM…"
2021-12-04 12:00:27,"RT @NCTsmtown: NCT DREAM 엔시티 드림 'Dreaming' Track Video

〖 NCT The 3rd Album ‘Universe’
➫ 2021.12.14 〗

#NCTDREAM #Dreaming
#NCT #Universe h…"
2021-12-04 12:00:22,"RT @NCTsmtown: WayV 'Miracle'
Track Video Image Teaser #YANGYANG

〖 NCT The 3rd Album ‘Universe’
➫ 2021.12.14 〗

#WayV #Miracle
#NCT #Unive…"
2021-12-04 12:00:19,"RT @NCTsmtown: WayV 'Miracle'
Track Video Image Teaser #HENDERY

〖 NCT The 3rd Album ‘Universe’
➫ 2021.12.14 〗

#WayV #Miracle
#NCT #Univer…"
2021-12-04 12:00:16,"RT @NCTsmtown: WayV 'Miracle'
Track Video Image Teaser #XIAOJUN

〖 NCT The 3rd Album ‘Universe’
➫ 2021.12.14 〗

#WayV #Miracle
#NCT #Univer…"
2021-12-04 12:00:16,"Not everyone will understand your journey, but that's okay. They need to understand their own not yours.💜🍓💜🌍
📸📸:… https://t.co/hmvPvctTQN"
2021-12-04 12:00:15,MARTIN LIVE ON AIR #RADIO 🎶🎵 Glitch Black 🇺🇸  Dominus Infernus  📡  🌎🌍🌏 EP 📀 Dominus Infernus  🐦@Glitch_Black  Visit… https://t.co/QMlQOLIUPd
2021-12-04 12:00:13,"RT @NCTsmtown: WayV 威神V 'Miracle' Track Video

〖 NCT The 3rd Album ‘Universe’
➫ 2021.12.14 〗

#WayV #Miracle
#NCT #Universe https://t.co/nM…"
2021-12-04 12:00:12,"RT @NCTsmtown: WayV 'Miracle'
Track Video Image Teaser #TEN

〖 NCT The 3rd Album ‘Universe’
➫ 2021.12.14 〗

#WayV #Miracle
#NCT #Universe h…"
2021-12-04 12:00:09,"RT @NCTsmtown: WayV 'Miracle'
Track Video Image Teaser #KUN

〖 NCT The 3rd Album ‘Universe’
➫ 2021.12.14 〗

#WayV #Miracle
#NCT #Universe h…"
2021-12-04 12:00:08,"RT @NCTsmtown: NCT DREAM 'Dreaming'
Track Video Image Teaser #JENO

〖 NCT The 3rd Album ‘Universe’
➫ 2021.12.14 〗

#NCTDREAM #Dreaming
#NCT…"
2021-12-04 12:00:06,"RT @NCTsmtown: NCT The 3rd Album ‘Universe’
#JUNGWOO

〖 NCT The 3rd Album ‘Universe’
 ➫ 2021.12.14 〗

#NCT #Universe 
#NCT_Universe
#NCT127…"
